 ArII      3014.49   18 1    72           A340      5.
 MnI       3014.668  25 0    35           B245      5.
 CrI       3014.760  24 0    27           C245     18. r
 V II      3014.822  23 1    27           A266    100.
 CrI       3014.915  24 0    27           C245     20. r
 CrI       3015.194  24 0    27           C245     18. r
 FeIII     3015.230  26 2    9            A103      7.
 TmII      3015.296  69 1    8            A269    100.
 ScI       3015.364  21 0    10           A245      8.
 NaII      3015.400  11 1    5            A130      6.
 CrII      3015.510  24 1    87           B245     50.
 ZrII      3015.67   40 1    86           A196      1.
 CoI       3015.686  27 0    76           A 56      3.
 ZrII      3015.86   40 1    127          A196      2.
 FeI       3015.913  26 0    198          C278      4.
 V II      3015.98   23 1    42           A266     10.
 V II      3016.14   23 1    26           A266     15.
 ArIV      3016.15   18 3    1            A 50      5.         61.
 V I       3016.16   23 0    58           C245     20.
 FeI       3016.186  26 0    30           G 59     12.
 MnI       3016.454  25 0    35           B245      8.
 V II      3016.775  23 1    27           A266    120.
 HfII      3016.94   72 1    3            A289      6.
 TiII      3017.187  22 1    85           C245     50.
 CeII      3017.195  58 1    107          A144     80.
 CoI       3017.254  27 0    78           A 56      3.
 NeII      3017.34   10 1    8            A 52      3.
 W I       3017.447  74 0    9            A 22     60.          7.94
 CoI       3017.548  27 0 P  78
 CrI       3017.569  24 0    27           C245     35. r
 FeI       3017.628  26 0    9            G 59     15. r
 O III     3017.63    8 2    10           A119      5.
 CrII      3017.80   24 1    95           A184      5.
 ZrII      3018.08   40 1                 A196      2. w
 FeI       3018.134  26 0    199          U247      1. :
 FeI       3018.25   26 0 P  263                       sol
 HfI       3018.32   72 0    2            A287     80.
 ZnI       3018.352  30 0    5            A149     30.          9.35
 CrI       3018.496  24 0    26           C245     10. r
 ZrII      3018.53   40 1    147          A196      3. w
 FeIII     3018.744  26 2    10           A103      6.
 ClII      3018.82   17 1    22           A195     12.
 CrI       3018.821  24 0    26           C245     10. r
 LaII      3018.95   57 1                 A258      6. nl
 FeI       3018.983  26 0    30           G 59     15. r
 V II      3019.09   23 1    86           A266      3.
 NiI       3019.143  28 0    11           B245     20. R
 FeI       3019.291  26 0    199          V 55      1. :
 ScI       3019.350  21 0    10           A245     10.
 RhII      3019.819  45 1    3            A150    150.
 ZrII      3019.84   40 1    6            A196      3.
 FeII      3020.001  26 1 ?A 110          A 76      0.
 ZrII      3020.45   40 1    26           A196      5.
 FeI       3020.495  26 0    9            V 55    100. R
 HfI       3020.54   72 0    4            A287    100.
 FeI       3020.643  26 0    9            V 55    200. R
 V II      3020.65   23 1    26           A266      6.
 CrI       3020.673  24 0    27           C245      8.
 FeI       3021.074  26 0    9            G 59    150. R
 FeII      3021.407  26 1    59           A 76      1.
 CrI       3021.558  24 0    27           C245     50. r
 PdI       3021.74   46 0    6            A256     10.
 Y I       3021.74   39 0    9            A254     15.
 V I       3021.78   23 0    75           C245      6.
 ZrII      3021.97   40 1    39           A196      1.
 W II      3021.98   74 1    6            A239    100.
 FeIII     3022.00   26 2    76           A103      3.
 V II      3022.146  23 1    86           A266      4.
 LaII      3022.26   57 1    116          A258      5. nl
 Y I       3022.28   39 0    10           A254     12.
 V II      3022.57   23 1    26           A266     40.
 CeIII     3022.736  58 2    5            A362    200.         19.5
 MnI       3022.749  25 0    35           B245     10.
 AlII      3022.804  13 1 P  13
 TiII      3022.820  22 1    126          C245     15.
 ClII      3022.93   17 1    57           A195     30.
 O III     3023.45    8 2    4            A119      5.
 Y II      3023.50   39 1    79           A254      2. n
 FeI       3023.583  26 0    103          S 77      0.
 N II      3023.80    7 1    35           C120      2.
 FeIII     3023.85   26 2    10           A103      8.
 FeII      3023.859  26 1    84           A 76      1.
 TiII      3023.86   22 1    126          C245     12.
 V II      3023.882  23 1    41           A266     20.
 FeI       3024.033  26 0    11           C278     15. r
 ArIII     3024.05   18 2    4            B 51     12.
 AlII      3024.098  13 1 P  13
 AlII      3024.114  13 1 P  13
 CrI       3024.350  24 0    26           C245     40. r
 O III     3024.36    8 2    10           A119      1.
 CoI       3024.400  27 0    52           A 56      1. :
 W II      3024.51   74 1    4            A239    300.
 O III     3024.57    8 2    4            A119      4.
 CrI       3024.681  24 0    117          C245      2.
 ZrII      3024.72   40 1    147          A196      3. w
 HfII      3024.78   72 1    47           A289     15.
 FeII      3024.92   26 1 P  138
 V II      3024.981  23 1    85           A266     50.
 ZrII      3025.16   40 1    86           A196      3. w
 FeI       3025.283  26 0    29           V 55      3.
 HfII      3025.29   72 1    12           A289     20.
 CrI       3025.40   24 0 P  27
 FeI       3025.638  26 0    198          V 55     15.
 V II      3025.68   23 1    75           A266      1.
 ZrII      3025.70   40 1    76           A196      2.
 O II      3025.75    8 1    84           B118      1.
 FeI       3025.843  26 0    9            K 57     50. R
 FeII      3025.99   26 1 P  84
 ZrII      3026.18   40 1    147          A196      3. wl
 CoI       3026.373  27 0    77           A 56      6.
 NiVIII    3026.4    28 7 F  4
 FeI       3026.462  26 0    30           G 59     15.
 Y II      3026.47   39 1    44           C245     10. nl
 CrII      3026.647  24 1    95           B245     80.
 ArII      3026.75   18 1    120          A340      4.
 AlII      3026.776  13 1 P  13
 AlII      3026.781  13 1 P  13
 CrII      3026.85   24 1    41           A184     20.
