FeI       3900.519  ( 565)[J2] {G0-K0Ib}
TiII      3900.546  (  34)[A70] {A0V-F8Ia}
FeI       3902.948  (  45)[B20] {A0V-K5Ia}
FeI       3903.902  ( 429)[J5] {G0-K0Ib}
SiI       3905.527  (   3)[A100] {F0V-K5III;G0II-K2Ib}
CrII      3905.64   ( 167)[A25] {A0V-A9Ia}           
FeII      3906.037  ( 173)[A5] {A0-A9III;B3-F0II}
CoI       3906.287  (  17)[A10] {F5-M2Iab}
FeI       3906.482  (   4)[B8] {F2V-M2Iab}
O II      3907.45   (  11)[B4] {B2-B9Ib}
O II      3911.960  (  17)[A10] {B2V-B9Ib}
O II      3912.088  (  17)[B2] {B2V-B9Ib}
TiII      3913.464  (  34)[A60] {A0V-F2Ia}   
C II      3918.977  (   4)[A9] {O9V-B9Ia}
O II      3919.287  (  17)[A6] {O9-B2V}
FeI       3920.260  (   4)[B20r] {A0V-K5Ia}
C II      3920.677  (   4)[A10] {O9V-B9Ia}
FeI       3922.914  (   4)[B25R] {A0V-K5Ia}
SiIII     3924.44   (    )[A4] {B2-B7IV}
HeI       3926.530  (  58)[D(1)] {O9V-B9Ia}
FeI       3930.299  (   4)[B25R] {G5-K5V}
CaII      3933.664  (   1)[A400R(K)] {O9V-B9Ia;A0V-M2Ia}
AlI       3944.009  (   1)[A10R] {F0V-M2Ia}
O II      3945.048  (   6)[A5] {B2-B9Iab}
TiI       3948.670  (  13)[A60] {G0-M2Iab}
FeI       3949.954  (  72)[I10] {G0-M2Iab}
Y II      3951.59   (  16)[A5] {A4-A7V;A0Ib-F8Ia}
V II      3951.968  (  10)[A500] {A4-A7V;B6-B9III;A0Ib-F8Ia}
FeI       3952.606  ( 278)[I8] {A0-A9III;F2-K0II;G0-K2Ib}
O II      3954.372  (   6)[A7] {B2-B9Ib;B2-B9Iab}
N II      3955.851  (   6)[A6] {B2-B9Ib}
AlI       3961.523  (   1)[A10R] {F0V-M2Iab}
O III     3961.59   (  17)[A8] {O9-B2Ib;O9-B9Ia}
HeI       3964.727  (   5)[B(4)] {O9-B2V;O9Ib-B2Ia}
CaII      3968.470  (   1)[A350R] {O9V-B9Iab;A0V-M2Ia}
H         3970.074  (   1)[A Heps] {O9V-K2Ia}
NiI       3973.562  (  31)[B25] {G5-K5III}
FeI       3977.743  (  72)[I12] {F2-K3II}
TiI       3982.478  (  11)[B30] {K0-M2III;K0Ib-M2Iab}
Y II      3982.59   (   6)[A150] {A4-A7V;A0Ib-F8Ia}
O II      3982.719  (   6)[A5] {O9-B9III;O9Ib-B9Ia}
MgI       3986.753  (  17)[A(1)] {F5V-K3II;G0-K0Ib}
TiI       3989.758  (  12)[A80r] {F0-M2V;G5-M2III;K0Ib-M2Ia}
N II      3994.996  (  12)[A10] {O9V-B9Ia}
CoI       3995.306  (  31)[A60] {G0-G5V}
FeI       3997.394  ( 278)[I15] {F0V-K5Ib}
CoI       3997.901  (  32)[A40] {G0-G5V}
FeI       3998.054  ( 276)[I10] {F5-K5V;A0-A9III;F2-K0II;G0-K2Ib}
TiI       3998.635  (  12)[A100R] {G0V-M2Ia}
N III     3998.69   (  16)[A(3d)] {O9-B2V}
FeI       4000.466  ( 426)[J2] {G5-K5III}
FeI       4001.666  (  72)[J5] {A4-A7V;B3-B9II;B2-B9Iab;A0-G0Ia}
FeI       4005.246  (  43)[B25] {A0V-M2Ia}
FeI       4006.314  ( 603)[J3] {K0-K3II}
FeI       4006.631  ( 488)[J2] {K0-K3II}
FeI       4007.277  ( 277)[J6] {K0-K3II}
TiI       4008.046  ( 187)[B9n] {K0-K3II}
TiI       4008.926  (  12)[A35] {K0-M2V;K0Ib-M2Ia}
HeI       4009.270  (  55)[D(1)] {O9V-B9Ia}
TiI       4009.653  (  11)[B15] {K0-M2V;K0Ib-M2Ia}
FeI       4009.714  (  72)[I10] {K5-M2III;K0-K3II}
TiII      4012.372  (  11)[B4] {F0V-G0II;A0-G0Ia}
FeI       4017.156  ( 527)[J6] {K0-K3II}
MnI       4018.102  (   5)[B20] {G0V-K2Ib}
ScI       4023.688  (   7)[A100] {G0-M2Iab}
ZrII      4024.45   (  54)[A12] {A0Ib-F8Ia}
FeII      4024.552  ( 127)[A5] {A0-A9III}
TiI       4024.573  (  12)[A35] {F0-M2V;K0-M2III;K0-M2Ia}
FeI       4024.735  ( 560)[J6n] {F2-K3II;G0-K0Ib}
HeI       4026.189  (  18)[B(5)] {O9V-B9Ia}
HeI       4026.362  (  18)[D(1)] {O9V-B9Ia}
TiII      4028.332  (  87)[B7] {A0Ib-F8Ia}
MnI       4030.755  (   2)[B200R] {A0V-M2Ia}
MnI       4033.073  (   2)[B150R] {A0V-M2Ia}
MnI       4034.490  (   2)[B100R] {A0V-M2Ia}
N II      4035.087  (  39)[A4n] {O9-B9III;O9Iab-B9Ia}
MnI       4035.728  (   5)[B15] {A0V-M2Ia}
N II      4041.321  (  39)[A5n] {O9V-B9Ia}
N II      4043.537  (  39)[A5n] {B2-B7IV;B2-B9Ib;O9-B9Iab}
FeI       4045.815  (  43)[B60r] {A0V-M2Ia}
ScI       4047.792  (   7)[A25] {K0Ib-M2Ia}
TiII      4053.814  (  87)[B3] {F0-F5V;A0-G0Ia}
ScI       4054.555  (   6)[A35] {K0Ib-M2Ia}
CoI       4054.618  (   2)[A(2)] {G5-M2III}
MnI       4055.543  (   5)[B20] {A4-A7V;F2-K3II;A0-K3Ib}
CoI       4057.195  (   3)[A5] {K0-K3II}
MgI       4057.505  (  16)[A5n] {F5-G5V;F0-G5III;F2-K0II;G0-K0Ib}
